q,I
2.379022509999999951e-02,4.682884503105416707e-03
2.387752890000000017e-02,4.682853140442659948e-03
2.447993949999999891e-02,4.682633611079478966e-03
2.456479220000000116e-02,4.682602251066839312e-03
2.464935279999999965e-02,4.682570891385683630e-03
2.481760959999999849e-02,4.682508173017485044e-03
2.490131170000000130e-02,4.682476814329835854e-03
2.523334379999999863e-02,4.682351382893698913e-03
2.556106320000000112e-02,4.682225956757032903e-03
2.580412149999999905e-02,4.682131890632888586e-03
2.596489630000000173e-02,4.682069181539083753e-03
2.612468180000000056e-02,4.682006473770528726e-03
2.651993379999999928e-02,4.681849710145387887e-03
2.659827940000000085e-02,4.681818358413796823e-03
2.683194360000000153e-02,4.681724305206414784e-03
2.721692649999999866e-02,4.681567556483584233e-03
2.736940339999999888e-02,4.681504859312171293e-03
2.744532419999999931e-02,4.681473511223075389e-03
2.774693010000000085e-02,4.681348122179131502e-03
2.834051430000000121e-02,4.681097359983501724e-03
2.841384049999999897e-02,4.681066016199194116e-03
2.855992799999999832e-02,4.681003329623624823e-03
2.863269220000000045e-02,4.680971986832220891e-03
2.884988380000000005e-02,4.680877960444086196e-03
2.899377430000000047e-02,4.680815277840230486e-03
2.920828110000000047e-02,4.680721256418457314e-03
2.942122390000000143e-02,4.680627237974866080e-03
2.970277299999999829e-02,4.680501884685227092e-03
3.012016249999999867e-02,4.680313864679044693e-03
3.032670299999999999e-02,4.680219859144126721e-03
3.059992200000000162e-02,4.680094523064237851e-03
3.066784640000000048e-02,4.680063189872214237e-03
3.087072290000000135e-02,4.679969192279678260e-03
3.107227489999999856e-02,4.679875197664874927e-03
3.113916889999999993e-02,4.679843866788233574e-03
3.120591959999999970e-02,4.679812536243573191e-03
3.166923519999999964e-02,4.679593231690113396e-03
3.173487090000000344e-02,4.679561903790705087e-03
3.186573689999999681e-02,4.679499248986381151e-03
3.193096869999999948e-02,4.679467922080859238e-03
3.225514909999999819e-02,4.679311292513710537e-03
3.263991580000000226e-02,4.679123347950763998e-03
3.270360349999999749e-02,4.679092025014566954e-03
3.289392669999999935e-02,4.678998058190142993e-03
3.295712349999999763e-02,4.678966736576944084e-03
3.320870809999999784e-02,4.678841453432043204e-03
3.345840099999999873e-02,4.678716175578621385e-03
3.364445469999999966e-02,4.678622220662772245e-03
3.376792089999999802e-02,4.678559585704442948e-03
3.395227840000000080e-02,4.678465635747698116e-03
3.419654240000000178e-02,4.678340373769724822e-03
3.461985769999999935e-02,4.678121178036398486e-03
3.467990950000000155e-02,4.678089865683928046e-03
3.473985749999999872e-02,4.678058553661085424e-03
3.485944419999999905e-02,4.677995930607513689e-03
3.491908400000000301e-02,4.677964619577309330e-03
3.509739530000000052e-02,4.677870688466758201e-03
3.521576790000000012e-02,4.677808069381905916e-03
3.562697489999999689e-02,4.677588912992907723e-03
3.568533189999999883e-02,4.677557606258869217e-03
3.609118929999999975e-02,4.677338468381346363e-03
3.614879690000000201e-02,4.677307164293932965e-03
3.632107169999999885e-02,4.677213254009117936e-03
3.649253310000000194e-02,4.677119346700878491e-03
3.671990299999999818e-02,4.676994141584080687e-03
3.677652580000000115e-02,4.676962841129792339e-03
3.694587359999999820e-02,4.676868941753421598e-03
3.722640800000000250e-02,4.676712449400427865e-03
3.744932249999999990e-02,4.676587261464546473e-03
3.750484409999999685e-02,4.676555965307162971e-03
3.761564139999999667e-02,4.676493373983512010e-03
3.794609239999999911e-02,4.676305607940733737e-03
3.811024350000000172e-02,4.676211729381616299e-03
3.832801789999999709e-02,4.676086562591458967e-03
3.849054019999999937e-02,4.675992690967587309e-03
3.870617500000000238e-02,4.675867533429036403e-03
3.875989619999999775e-02,4.675836244870874500e-03
3.881354310000000030e-02,4.675804956642022961e-03
3.897404079999999826e-02,4.675711093935961370e-03
3.918701509999999999e-02,4.675585948285895452e-03
3.924007809999999902e-02,4.675554662701026168e-03
3.939883820000000120e-02,4.675460807922923213e-03
3.960952859999999909e-02,4.675335672842467587e-03
4.007953250000000078e-02,4.675054138231182245e-03
4.018323120000000248e-02,4.674991578615337803e-03
4.023498040000000192e-02,4.674960299302530382e-03
4.038983000000000156e-02,4.674866463346406126e-03
4.049273419999999818e-02,4.674803907693794204e-03
4.064660190000000256e-02,4.674710076693109652e-03
4.079988930000000291e-02,4.674616248660647989e-03
4.085085730000000137e-02,4.674584973312486888e-03
4.100338109999999980e-02,4.674491149242492732e-03
4.105409649999999799e-02,4.674459875210697050e-03
4.125633449999999841e-02,4.674334782394810872e-03
4.130673929999999910e-02,4.674303510013684375e-03
4.160788569999999964e-02,4.674115882671851796e-03
4.185718599999999762e-02,4.673959535625818104e-03
4.200605599999999995e-02,4.673865731361624178e-03
4.205556230000000173e-02,4.673834463933900819e-03
4.244953370000000004e-02,4.673584336386261452e-03
4.259633349999999985e-02,4.673490544003580660e-03
4.283988209999999713e-02,4.673334229962585774e-03
4.288842589999999899e-02,4.673302968142769784e-03
4.303372860000000133e-02,4.673209184666211359e-03
4.322670569999999962e-02,4.673084144650508677e-03
4.327481560000000227e-02,4.673052885471396314e-03
4.337087509999999757e-02,4.672990368100211900e-03
4.361009829999999698e-02,4.672834080455620306e-03
4.365778569999999997e-02,4.672802823912104546e-03
4.380053619999999676e-02,4.672709056272403121e-03
4.394282299999999891e-02,4.672615291601258519e-03
4.403742540000000344e-02,4.672552783470349316e-03
4.413182499999999953e-02,4.672490276654534848e-03
4.455414840000000015e-02,4.672209012325602429e-03
4.474056810000000273e-02,4.672084014528225804e-03
4.478705179999999814e-02,4.672052765904052309e-03
4.487987470000000256e-02,4.671990269648436389e-03
4.492621420000000171e-02,4.671959022010989220e-03
4.506494700000000103e-02,4.671865281086711938e-03
4.515719859999999669e-02,4.671802788782664258e-03
4.529522390000000065e-02,4.671709052801444224e-03
4.561565869999999884e-02,4.671490347053751553e-03
4.584316940000000146e-02,4.671334138551405668e-03
4.602436819999999873e-02,4.671209177686911143e-03
4.615980060000000190e-02,4.671115460493541725e-03
4.624986849999999927e-02,4.671052984015821273e-03
4.651902589999999671e-02,4.670865562495347782e-03
4.656373419999999819e-02,4.670834326727851815e-03
4.660839960000000282e-02,4.670803091291681960e-03
4.691986699999999705e-02,4.670584452462166018e-03
4.696419369999999677e-02,4.670553219658867515e-03
4.709692359999999994e-02,4.670459523235610290e-03
4.731731260000000133e-02,4.670303369118933116e-03
4.744905459999999853e-02,4.670209680599346665e-03
4.758043189999999756e-02,4.670115995047461818e-03
4.762414379999999753e-02,4.670084767190907718e-03
4.775503939999999753e-02,4.669991085594812560e-03
4.779859160000000246e-02,4.669959859051218617e-03
4.801576009999999894e-02,4.669803731297869631e-03
4.814559110000000280e-02,4.669710058591328497e-03
4.836120139999999790e-02,4.669553944011731531e-03
4.849010740000000291e-02,4.669460279218018775e-03
4.866145090000000006e-02,4.669335397431872287e-03
4.895985910000000274e-02,4.669116866998154758e-03
4.900234049999999814e-02,4.669085649681302581e-03
4.904478510000000180e-02,4.669054432690066675e-03
4.912956429999999763e-02,4.668991999703333076e-03
4.929868529999999888e-02,4.668867137680780995e-03
4.934087499999999932e-02,4.668835922999736189e-03
4.938302859999999656e-02,4.668804708642821863e-03
4.963519859999999950e-02,4.668617429446301342e-03
4.967710250000000050e-02,4.668586217396260458e-03
4.980260260000000244e-02,4.668492583224162322e-03
5.001106959999999935e-02,4.668336532867301859e-03
5.017721960000000314e-02,4.668211698499890976e-03
5.038413659999999711e-02,4.668055662952465441e-03
5.046666589999999897e-02,4.667993251041066896e-03
5.050787989999999672e-02,4.667962045571345635e-03
5.067240099999999886e-02,4.667837227009015086e-03
5.099985089999999749e-02,4.667587605687103722e-03
5.104063439999999979e-02,4.667556404506402988e-03
5.112210379999999887e-02,4.667494003118637623e-03
5.116278989999999832e-02,4.667462802924897403e-03
5.136573690000000025e-02,4.667306806876735104e-03
5.148712109999999814e-02,4.667213213188883131e-03
5.160821980000000059e-02,4.667119622473625551e-03
5.164852290000000040e-02,4.667088426227507941e-03
5.192976900000000062e-02,4.666870061693990240e-03
5.200984570000000140e-02,4.666807674794464476e-03
5.212973010000000046e-02,4.666714096905462579e-03
5.224933949999999855e-02,4.666620521977428090e-03
5.228914839999999897e-02,4.666589330997955240e-03
5.244808220000000271e-02,4.666464570353162644e-03
5.264607470000000344e-02,4.666308626939662599e-03
5.292201970000000311e-02,4.666090319986897564e-03
5.296132299999999765e-02,4.666059134598553836e-03
5.303984240000000211e-02,4.665996764800301594e-03
5.307905849999999814e-02,4.665965580398003312e-03
5.319653330000000124e-02,4.665872029150787414e-03
5.339175040000000011e-02,4.665716116988575385e-03
5.354741159999999722e-02,4.665591393177592229e-03
5.366386120000000287e-02,4.665497853778790074e-03
5.385738429999999827e-02,4.665341961340881832e-03
5.389600549999999657e-02,4.665310783841205254e-03
5.401170360000000226e-02,4.665217253320636318e-03
5.420398480000000047e-02,4.665061375682078189e-03
5.431902689999999756e-02,4.664967853040884356e-03
5.443382580000000193e-02,4.664874333370373251e-03
5.473877910000000263e-02,4.664624962022103499e-03
5.481475239999999971e-02,4.664562622469328387e-03
5.489062050000000081e-02,4.664500284235312613e-03
5.492851530000000121e-02,4.664469115616634402e-03
5.507983360000000272e-02,4.664344444412797316e-03
5.511759819999999949e-02,4.664313277426652624e-03
5.523073729999999903e-02,4.664219778461541586e-03
5.541878909999999742e-02,4.664063953416714044e-03
5.549383139999999881e-02,4.664001625692736422e-03
5.568099469999999995e-02,4.663845812151942716e-03
5.571835189999999743e-02,4.663814650427266367e-03
5.601631270000000107e-02,4.663565368473066020e-03
5.612764020000000215e-02,4.663471893162220161e-03
5.627573429999999793e-02,4.663347264004677473e-03
5.642343970000000125e-02,4.663222640115854273e-03
5.657075939999999664e-02,4.663098021477364227e-03
5.668099790000000193e-02,4.663004560945889672e-03
5.671769649999999774e-02,4.662973408090718280e-03
5.682764989999999905e-02,4.662879951508707745e-03
5.690083420000000003e-02,4.662817648761577102e-03
5.711982439999999800e-02,4.662630748397317282e-03
5.715624119999999919e-02,4.662599599479821597e-03
5.726535270000000094e-02,4.662506154720409517e-03
5.744674450000000071e-02,4.662350420011220249e-03
5.748295419999999850e-02,4.662319274048277833e-03
5.759144669999999994e-02,4.662225838151484725e-03
5.769973510000000333e-02,4.662132405209451318e-03
5.773578619999999995e-02,4.662101261545885736e-03
5.777181470000000013e-02,4.662070118213818871e-03
5.798751569999999883e-02,4.661883265131267981e-03
5.802338790000000079e-02,4.661852124111414905e-03
5.805923799999999912e-02,4.661820983405025494e-03
5.834524540000000231e-02,4.661571869590376040e-03
5.841652840000000069e-02,4.661509594428853674e-03
5.845213739999999963e-02,4.661478457331696100e-03
5.873623160000000093e-02,4.661229372414711289e-03
5.884241330000000020e-02,4.661135970978481924e-03
5.887776470000000151e-02,4.661104837834073936e-03
5.915981499999999754e-02,4.660855784412901159e-03
5.919497680000000012e-02,4.660824654222624035e-03
5.930033710000000291e-02,4.660731265583073317e-03
5.940551060000000272e-02,4.660637879908831153e-03
5.947552290000000103e-02,4.660575624428192447e-03
5.958038699999999854e-02,4.660482243663819669e-03
5.971991950000000299e-02,4.660357740595020594e-03
5.999801099999999693e-02,4.660108750169775736e-03
6.003268190000000254e-02,4.660077627851836810e-03
6.024028800000000294e-02,4.659890900775961499e-03
6.027481950000000005e-02,4.659859780748586144e-03
6.041274809999999662e-02,4.659735303916115283e-03
6.055036250000000314e-02,4.659610832314271117e-03
6.058471719999999894e-02,4.659579715233543896e-03
6.065336839999999757e-02,4.659517482066778161e-03
6.085885719999999804e-02,4.659330790424148598e-03
6.113176780000000032e-02,4.659081886595037650e-03
6.119980530000000002e-02,4.659019663916838527e-03
6.123379560000000166e-02,4.658988553073592324e-03
6.133565380000000067e-02,4.658895222505325499e-03
6.136956899999999882e-02,4.658864112963681352e-03
6.150504259999999696e-02,4.658739678104911047e-03
6.167396609999999807e-02,4.658584141886462117e-03
6.174140610000000001e-02,4.658521929713622597e-03
6.194328550000000044e-02,4.658335301016071871e-03
6.204397889999999777e-02,4.658241991089857349e-03
6.214450920000000322e-02,4.658148684119631580e-03
6.217798310000000050e-02,4.658117582443048466e-03
6.227829700000000329e-02,4.658024279407972645e-03
6.241179809999999883e-02,4.657899879957079492e-03
6.244512879999999933e-02,4.657868780896004014e-03
6.257827400000000317e-02,4.657744387998126803e-03
6.284371810000000114e-02,4.657495617907650605e-03
6.297602060000000168e-02,4.657371240727401981e-03
6.300905280000000663e-02,4.657340147249009257e-03
6.323979509999999582e-02,4.657122502106277213e-03
6.327268960000000109e-02,4.657091411247242345e-03
6.333842739999999416e-02,4.657029230520106505e-03
6.337127069999999585e-02,4.656998140644659848e-03
6.346969869999999347e-02,4.656904872983188247e-03
6.353523260000000505e-02,4.656842696197111692e-03
6.373143000000000558e-02,4.656656173662791082e-03
6.376407089999999722e-02,4.656625087739743596e-03
6.386189339999999437e-02,4.656531831870077374e-03
6.389446769999999887e-02,4.656500747245928377e-03
6.402459889999999321e-02,4.656376411990488864e-03
6.405709029999999415e-02,4.656345328999482273e-03
6.441341509999999604e-02,4.656003437693762882e-03
6.451025289999999524e-02,4.655910201474921031e-03
6.479989830000000561e-02,4.655630510527989686e-03
6.483200120000000288e-02,4.655599435400187107e-03
6.492821479999999479e-02,4.655506211947096386e-03
6.505627819999999784e-02,4.655381918611099616e-03
6.508825470000000057e-02,4.655350846099115189e-03
6.518409000000000009e-02,4.655257630524868746e-03
6.527978469999999589e-02,4.655164417897356306e-03
6.531165170000000075e-02,4.655133347664373519e-03
6.540715969999999491e-02,4.655040138964009616e-03
6.556603060000000538e-02,4.654884797661879015e-03
6.569285060000000509e-02,4.654760530495354216e-03
6.578780519999999354e-02,4.654667333577142824e-03
6.585103220000000646e-02,4.654605203931849733e-03
6.591419860000000130e-02,4.654543075588673043e-03
6.607185029999999848e-02,4.654387760476851044e-03
6.619770129999999475e-02,4.654263514252717296e-03
6.635467940000000509e-02,4.654108213852915094e-03
6.641736669999999398e-02,4.654046095994916234e-03
6.644868819999999454e-02,4.654015037556745102e-03
6.660507479999999703e-02,4.653859750236038866e-03
6.669873070000000015e-02,4.653766581782896317e-03
6.682340109999999889e-02,4.653642361750691403e-03
6.691675140000000188e-02,4.653549200149261628e-03
6.710306259999999912e-02,4.653362885813013515e-03
6.728885780000000427e-02,4.653176583242567277e-03
6.731977379999999622e-02,4.653145533963605127e-03
6.735067570000000114e-02,4.653114484995195775e-03
6.744329620000000247e-02,4.653021340095874446e-03
6.753578970000000126e-02,4.652928198114669386e-03
6.756659280000000545e-02,4.652897151443207389e-03
6.759738179999999486e-02,4.652866105119161065e-03
6.781251330000000188e-02,4.652648789875596901e-03
6.790450389999999614e-02,4.652555659670467615e-03
6.793513980000000230e-02,4.652524616921938777e-03
6.808811230000000325e-02,4.652369408126620989e-03
6.817973099999999342e-02,4.652276286736089193e-03
6.839303080000000423e-02,4.652059015002605984e-03
6.842344790000000343e-02,4.652027977487209649e-03
6.854498139999999629e-02,4.651903830686304232e-03
6.857533120000000593e-02,4.651872794814287775e-03
6.881764710000000396e-02,4.651624519557248823e-03
6.902897569999999483e-02,4.651407295841976548e-03
6.923965930000000601e-02,4.651190088141187416e-03
6.926970470000000379e-02,4.651159059800179761e-03
6.929973700000000014e-02,4.651128031742169690e-03
6.935976259999999949e-02,4.651065976664811759e-03
6.938975599999999688e-02,4.651034949613805196e-03
6.947965829999999676e-02,4.650941870400359876e-03
6.962923760000000462e-02,4.650786744924334526e-03
6.971883119999999767e-02,4.650693673557455485e-03
6.977849630000000636e-02,4.650631627608483101e-03
6.983811040000000026e-02,4.650569582986568973e-03
7.010574679999999337e-02,4.650290398286753904e-03
7.019473210000000407e-02,4.650197342576084698e-03
7.025399309999999509e-02,4.650135307092759761e-03
7.034279089999999346e-02,4.650042256307702557e-03
7.043147669999999527e-02,4.649949208471235509e-03
7.046101389999999409e-02,4.649918193163996363e-03
7.069686679999999390e-02,4.649670082534362002e-03
7.072629310000000391e-02,4.649639070181787147e-03
7.081449859999999763e-02,4.649546035077153049e-03
7.096126429999999319e-02,4.649390983092766688e-03
7.104917809999999889e-02,4.649297955797868087e-03
7.116622760000000658e-02,4.649173924008996421e-03
7.125388859999999547e-02,4.649080903597689607e-03
7.137060239999999667e-02,4.648956880927953943e-03
7.139975099999999741e-02,4.648925876084918953e-03
7.142888779999999327e-02,4.648894871582408446e-03
7.151622679999999899e-02,4.648801859975601296e-03
7.163251310000000316e-02,4.648677849057338690e-03
7.166155520000000445e-02,4.648646847159117364e-03
7.174861100000000380e-02,4.648553843379412027e-03
7.186452140000000599e-02,4.648429842911265021e-03
7.209578290000000222e-02,4.648181857649566311e-03
7.212463850000000454e-02,4.648150860963353760e-03
7.218231499999999690e-02,4.648088868549326083e-03
7.229752999999999874e-02,4.647964887691193210e-03
7.235506869999999702e-02,4.647902899194369768e-03
7.244129109999999927e-02,4.647809918925833138e-03
7.264207849999999855e-02,4.647592976349296419e-03
7.281374140000000661e-02,4.647407038333482322e-03
7.289942130000000298e-02,4.647314073709563238e-03
7.298500049999999406e-02,4.647221112017839439e-03
7.304199769999999980e-02,4.647159139185427605e-03
7.312741009999999819e-02,4.647066182405719045e-03
7.324113840000000264e-02,4.646942244602361195e-03
7.343973900000000388e-02,4.646725365982577564e-03
7.346806670000000095e-02,4.646694384626070401e-03
7.355298439999999327e-02,4.646601442498901439e-03
7.358126850000000496e-02,4.646570462426475624e-03
7.369429630000000342e-02,4.646446545496649844e-03
7.372252619999999923e-02,4.646415567084815831e-03
7.389167900000000178e-02,4.646229703409338573e-03
7.391983359999999836e-02,4.646198727242361638e-03
7.394797729999999514e-02,4.646167751438391204e-03
7.414468470000000477e-02,4.645950929893083794e-03
7.417274320000000198e-02,4.645919956661946799e-03
7.425685499999999661e-02,4.645827039011851851e-03
7.445274629999999727e-02,4.645610242566707709e-03
7.470385179999999847e-02,4.645331527698645137e-03
7.481518369999999585e-02,4.645207662929704343e-03
7.484299079999999493e-02,4.645176697549431404e-03
7.489857399999999554e-02,4.645114767747443411e-03
7.500961690000000626e-02,4.644990912087019509e-03
7.506507669999999688e-02,4.644928986198133131e-03
7.523121089999999789e-02,4.644743216405696103e-03
7.525886430000000571e-02,4.644712255901706568e-03
7.547972660000000500e-02,4.644464583699279073e-03
7.550728900000000521e-02,4.644433626128543005e-03
7.558991580000000432e-02,4.644340755415444881e-03
7.569994450000000485e-02,4.644216932326298251e-03
7.572742679999999726e-02,4.644185977365673963e-03
7.580981359999999780e-02,4.644093114444665729e-03
7.589211099999999821e-02,4.644000254448753424e-03
7.591952370000000505e-02,4.643969301793098720e-03
7.616579349999999526e-02,4.643690742375366706e-03
7.622041209999999567e-02,4.643628843863014527e-03
7.638403350000000369e-02,4.643443156119635151e-03
7.646571289999999632e-02,4.643350316669147583e-03
7.657448329999999581e-02,4.643226535258850561e-03
7.665595969999999815e-02,4.643133702649812275e-03
7.668309930000000163e-02,4.643102759087916302e-03
7.679156169999999670e-02,4.642978988117792312e-03
7.681865340000000597e-02,4.642948046209651597e-03
7.689987119999999732e-02,4.642855222360975538e-03
7.698100330000000324e-02,4.642762401442625600e-03
7.711603370000000290e-02,4.642607706440818154e-03
7.722388809999999881e-02,4.642483956335612463e-03
7.741227159999999885e-02,4.642267406118486331e-03
7.751971380000000078e-02,4.642143670318061091e-03
7.754655109999999962e-02,4.642112737155551332e-03
7.762700729999999494e-02,4.642019939708967591e-03
7.768059839999999494e-02,4.641958076336143851e-03
7.776091590000000497e-02,4.641865283769901901e-03
7.789459440000000290e-02,4.641710635923853787e-03
7.794800159999999700e-02,4.641648779101647734e-03
7.808135970000000536e-02,4.641494142682422649e-03
7.810800410000000304e-02,4.641463216359917147e-03
7.818788249999999995e-02,4.641370439428266041e-03
7.837394890000000391e-02,4.641153971187014782e-03
7.848007460000000490e-02,4.641030282252120095e-03
7.850658350000000452e-02,4.640999360816906553e-03
7.871833409999999531e-02,4.640752001102442514e-03
7.874476290000000100e-02,4.640721082611304511e-03
7.879759379999999591e-02,4.640659246595228715e-03
7.882399599999999340e-02,4.640628329086851460e-03
7.921897310000000636e-02,4.640164605240671390e-03
7.935019529999999544e-02,4.640010046883412051e-03
7.937641369999999530e-02,4.639979136191445079e-03
7.945501689999999451e-02,4.639886406047259368e-03
7.955970049999999683e-02,4.639762770447104084e-03
7.958584990000000525e-02,4.639731862369690651e-03
7.966424649999999386e-02,4.639639140021160554e-03
7.979473639999999646e-02,4.639484609305423099e-03
7.997706450000000022e-02,4.639268279955058479e-03
8.000307750000000551e-02,4.639237377067672273e-03
8.015897800000000573e-02,4.639051966547441848e-03
8.021087740000000521e-02,4.638990165647212047e-03
8.028866380000000691e-02,4.638897466691511290e-03
8.036637480000000111e-02,4.638804770695841191e-03
8.039226180000000332e-02,4.638773872661379472e-03
8.046987279999999465e-02,4.638681180566628891e-03
8.049572650000000329e-02,4.638650283883259152e-03
8.070225790000000454e-02,4.638403121829954255e-03
8.077957099999999446e-02,4.638310441393829128e-03
8.083107209999999820e-02,4.638248656105239780e-03
8.090826210000000296e-02,4.638155980560061675e-03
8.098537860000000477e-02,4.638063307947353810e-03
8.121628870000000000e-02,4.637785307702903259e-03
8.124190489999999487e-02,4.637754420383993249e-03
8.129311300000000018e-02,4.637692646793927127e-03
8.144654410000000400e-02,4.637507333732943104e-03
8.152315139999999349e-02,4.637414681574652045e-03
8.159968680000000141e-02,4.637322032365775136e-03
8.162518259999999859e-02,4.637291149974889261e-03
8.165067049999999438e-02,4.637260267866266314e-03
8.170162240000000686e-02,4.637198504653091378e-03
8.182886339999999314e-02,4.637044102278334128e-03
8.193051390000000156e-02,4.636920586205100191e-03
8.200666909999999865e-02,4.636827952592008362e-03
8.205739989999999429e-02,4.636766198415695830e-03
8.210809939999999529e-02,4.636704445596713346e-03
8.213343739999999504e-02,4.636673569689949738e-03
8.223471150000000174e-02,4.636550069201637175e-03
8.233586090000000191e-02,4.636426573904542728e-03
8.251257400000000519e-02,4.636210469721879432e-03
8.253778790000000642e-02,4.636179598938156704e-03
8.261338329999999563e-02,4.636086988700540042e-03
8.266374179999999572e-02,4.636025250172095061e-03
8.283975550000000077e-02,4.635809175463299556e-03
8.304045720000000075e-02,4.635562252419374654e-03
8.306551080000000586e-02,4.635531388506332166e-03
8.321567409999999776e-02,4.635346211831072906e-03
8.324067490000000569e-02,4.635315350156920915e-03
8.326566829999999808e-02,4.635284488824179851e-03
8.334060340000000455e-02,4.635191906819596287e-03
8.363967260000000625e-02,4.634821607950005348e-03
8.366454680000000310e-02,4.634790751805537706e-03
8.371427300000000571e-02,4.634729040475905372e-03
8.373912499999999759e-02,4.634698185349872199e-03
8.386327459999999567e-02,4.634543914420184187e-03
8.393767620000000540e-02,4.634451355745677209e-03
8.401201190000000263e-02,4.634358799994024898e-03
8.403677589999999920e-02,4.634327948768258119e-03
8.411102400000000645e-02,4.634235396883369489e-03
8.425932399999999656e-02,4.634050301963409807e-03
8.433337620000000423e-02,4.633957758820802381e-03
8.445665230000000412e-02,4.633803526804128672e-03
8.453053160000000010e-02,4.633710991531061335e-03
8.462893709999999570e-02,4.633587615650011649e-03
8.484993209999999730e-02,4.633310038879421243e-03
8.489896399999999343e-02,4.633248358689362467e-03
8.492346929999999849e-02,4.633217519116744620e-03
8.502141990000000593e-02,4.633094163973064221e-03
8.511925789999999492e-02,4.632970814013435794e-03
8.519256259999999359e-02,4.632878305002191902e-03
8.521698349999999589e-02,4.632847469282328975e-03
8.524139740000000187e-02,4.632816633910429027e-03
8.541209930000000228e-02,4.632600795297714576e-03
8.543645739999999877e-02,4.632569962519454340e-03
8.563107309999999639e-02,4.632323311937453988e-03
8.567965800000000576e-02,4.632261652533236143e-03
8.570394000000000623e-02,4.632230823280986988e-03
8.577674509999999586e-02,4.632138337571013731e-03
8.580099970000000520e-02,4.632107509631249419e-03
8.589794970000000363e-02,4.631984201201565406e-03
8.599479040000000685e-02,4.631860897892540498e-03
8.606734940000000667e-02,4.631768423840824066e-03
8.609152209999999805e-02,4.631737599793422748e-03
8.628466029999999620e-02,4.631491019187681558e-03
8.645330230000000671e-02,4.631275278112778268e-03
8.654952159999999839e-02,4.631152004637216317e-03
8.657355969999999679e-02,4.631121187045525098e-03
8.659759109999999593e-02,4.631090369826667587e-03
8.666964550000000322e-02,4.630997920062659284e-03
8.674163999999999486e-02,4.630905473191378706e-03
8.678960310000000122e-02,4.630843843601765639e-03
8.686149819999999799e-02,4.630751401647294208e-03
8.698119120000000204e-02,4.630597338081211649e-03
8.714848529999999482e-02,4.630381662800155292e-03
8.722008450000000301e-02,4.630289235406663886e-03
8.731545890000000365e-02,4.630166003324687543e-03
8.760095880000000335e-02,4.629796338338786933e-03
8.762470840000000094e-02,4.629765535047344199e-03
8.771964279999999725e-02,4.629642325059055846e-03
8.774336039999999781e-02,4.629611523335713796e-03
8.781447459999999761e-02,4.629519120195554373e-03
8.788553120000000551e-02,4.629426719960739317e-03
8.793287040000000165e-02,4.629365121458915711e-03
8.800383150000000432e-02,4.629272726014785865e-03
8.807473540000000656e-02,4.629180333609909763e-03
8.809835729999999920e-02,4.629149536747662746e-03
8.826353389999999632e-02,4.628933967903022494e-03
